,Контингент (индификатор),Название проекта (Описание),Дата выхода,Цена,"Производитель, разработчик","Покупатель, заказчик",Участник торгов
703,(Контингент: CGN-20220809003),Надзор за осуществлением данного тендерного проекта /.,2022-10-31,," Электротехника,  China New Energy Aramco", &quot; Чайна инжиниринг лимитед &quot;,
704,(Контингент: CGN-20230306007),Надзор за осуществлением данного тендерного проекта /.,2023-05-09,3377400,,",  &quot; Чайна инжиниринг лимитед &quot;",
705,,"Закупка оборудования для проекта BS, Циркуляр результатов, Закупка оборудования для данного проекта BS на условиях внешнего подряда (номер тендера: CGN-202112230003-N1) для определения выигравшей стороны проекта, Название проекта: Закупки оборудования для проекта BS, Наблюдение за данной тендерной программой",2022-04-27,25830000,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
706,(Контингент: CGN-202203020001),"В 2021 году компания Huawei по переработке системы мониторинга ветровых и подъемных станций продемонстрировала результаты, Модернизация системы мониторинга ветряных и подъемных станций в 2021 году (запрос No CGN-CGN), Надзор за осуществлением данного тендерного проекта /.",2022-06-02,,, &quot; Чайна инжиниринг лимитед &quot;, компания &lt; &lt; Сычуань &gt; &gt;
707,(Контингент: CGN-202208020005),"Информация о результатах в проекте по приобретению оборудования для систем управления на северо-западе компании &lt; &lt; Си-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн &gt; &gt;, Проект по приобретению оборудования для системного управления на северо-западе компании &lt; &lt; Энергоноэнергетика &gt; &gt; (заявление No CGN-, Надзор за осуществлением данного тендерного проекта /.",2022-10-17,2285080, China Network Information Technology," China and China (Пекин),  &quot; Чайна инжиниринг лимитед &quot;",
708,,"Проект LOT150Ba DER Холодный комплекс, Циркуляр результатов, Проект LOT150Ba DER Холодный гидравлический блок (номер тендера: CGN-20221010001) для определения победителей проекта, Название проекта: Проект LOT150Ba DER, Наблюдение за данной тендерной программой",2022-12-23,12104500,," компания &lt; &lt; Эверест электрик &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
709,(Контингент: CGN-202108050011),"Результаты, Надзор за осуществлением данного тендерного проекта /.",2021-10-15,82668669," Anteko Energy Environmental Company, Шэньчжэнь", &quot; Чайна инжиниринг лимитед &quot;, &lt; &lt; Чайна Хиросима &gt; &gt;
710,(Контингент: CGN-20220125003),"Обнародование результатов закупок оборудования для технического обслуживания термопара, Проект: Закупка оборудования для технического обслуживания термопарников, Наблюдение за данной тендерной программой",2022-03-03,1580000, Bullisudi Sound Technology (Шанхай) Ltd.," Китайская академия ядерных исследований,  &quot; Чайна инжиниринг лимитед &quot;",
711,,"Проект SK LOT140Ch для углеродной стали, Циркуляр результатов, В рамках проекта LOT140Ch атомная углеродная сталь (номер тендера: CGN-20230329003) для определения медианы проекта, Название проекта: Проект SK LOT140Ch, Наблюдение за данной тендерной программой",2023-06-13,15109017,," &lt; &lt; Ниси &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
712,(Контингент: CGN-20230110002),"Проект 2-1 (Ветряная электроэнергия 260 МВт) Дорога, платформа, ветряная база, и результаты тендера на замену коробки (пункт 3), Проект 2-1 (Ветряная электроэнергия 260 МВт) Дорога, платформа, ветряная база и коробка, тендерная заявка (No CGN-202301110002), которая была определена следующим образом:, Надзор за осуществлением данного тендерного проекта /.",2023-03-09,35546023,, &quot; Чайна инжиниринг лимитед &quot;, компания &quot; Белая энергетика &quot;
713,,"Электронные системы административного обмена LOT78Ca (номер тендера: CGN-20211029004-N1) для проекта BJ 1, 2, для определения победителей проекта, например, Проект: Проект 1 и блок 2 LOT78Ca, Наблюдение за данной тендерной программой",2022-01-10,8084090,," Шанхайская корпорация ядерных технологий,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
714,,"Результаты 2-го тендера на проект по закупке строительных материалов в Центре управления производством в 2022 году, 2-я тендерная заявка на проект по закупке строительного центра управления производством в 2022 году, Проект: 2-й тендер на проект строительства центра управления производством в 2022 году, Наблюдение за данной тендерной программой, Покупатель: Ляонин Красный Поток, Адрес: BA-башня проекта &lt; &lt; Красная речка &gt; &gt; в провинции Ляонин",2022-08-22,7418654,, &quot; Чайна инжиниринг лимитед &quot;,
715,(Контингент: CGN-202211230002),"110 кВ, 35 кВ и коробка PC., Результаты, 35-километровая линия и PC-инжиниринг (номер тендера:, CGN-202211230002 был определен следующим образом:, Надзор за осуществлением данного тендерного проекта /.",2023-02-13,58095510,, &quot; Чайна инжиниринг лимитед &quot;,",  &lt; &lt; Тяньцзиньнинг лтд. &gt; &gt;"
716,,"Проект BT &quot; LOT130Ra &quot; по замене оборудования для перевалки, Циркуляр результатов, В рамках проекта BT LOT130Ra для замены оборудования для перевалки (номер тендера: CGN-20221107004) для определения проекта, Название проекта: Проект BT LOT130Ra для замены оборудования для перевалки, Наблюдение за данной тендерной программой",2023-02-06,18832000, Download," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
717,"(Конференция: CGN-20230628004), Номер: CGN-20230628004, идентифицированные лица:","Результаты, Надзор за осуществлением данного тендерного проекта /.",2023-08-11,,,",  &quot; Чайна инжиниринг лимитед &quot;", &lt; &lt; Чайна Хиросима &gt; &gt;
718,(Конференция: CGN-20210908002),"Конкретная информация о результатах закупок теплового коммутатора SRI для системы LOT41Cb, Закупка теплового коммутатора SRI для системы LOT41Cb SRI в рамках проекта China LF (No. CGN-20210908002), Наблюдение за данной тендерной программой",2022-07-13,7602000,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
719,(Контингент: CGN-20220530001),"Проект LF LOT130P Обнародовать результаты в резервном материале, В рамках проекта LOT130P на объекте LOT130P (номер тендера: CGN-20220530001) для определения медианы проекта, Наблюдение за данной тендерной программой",2022-08-03,7303323, Jong Kong New Materials," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
720,"(Контингент: CGN-202307050014), Номер: CGN-202307050014, идентифицированные лица:","В пункте 1 проекта генерального подряда на проект PC в 1 млн кВт-диапазоне на базе экологически чистой энергии в Синьцзяне, Результаты, 1-й сегмент генерального подряда проекта PC на 1 млн. киловатт-электрических полях на базе экологически чистой энергетики в Южном Синьцзяне (проект конкурса), Надзор за осуществлением данного тендерного проекта /.",2023-08-24,666628967,," China Solar Successor,  &quot; Чайна инжиниринг лимитед &quot;", Чжао
721,(Контингент: CGN-202303310006),Наблюдение за данной тендерной программой,2023-07-20,550200,,",  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
722,(Контингент: CGN-20220630001),"Результаты закупок ветряного генераторного оборудования в рамках проекта &lt; &lt; Синьцзян &gt; &gt;, Надзор за осуществлением данного тендерного проекта /.",2022-10-19,,, &quot; Чайна инжиниринг лимитед &quot;,
723,(Контингент: CGN-20220817003),"100 МВт фотоэлектрического поля и 110 кВ-литровая станция PC в префектуре Хиросима, 100 МВт фотоэлектрического поля и 110 кВ-литровая станция PC (заказ No CGN-V), Надзор за осуществлением данного тендерного проекта /.",2022-10-31,401301180,, &quot; Чайна инжиниринг лимитед &quot;, Чжао
724,,"Устройство проверки надежности механической герметизации основного насоса, а также технология моделирования и обработки дефектов, 3-й тендер на закупку оборудования для проверки надежности механической герметизации и методов для расчета и обработки дефектов (номер тендера:, Проект: 3-я тендерная заявка на закупку оборудования для проверки надежности механического герметизации основного насоса и технологий для расчета и обработки дефектов, Наблюдение за данной тендерной программой",2022-09-14,1980000,," &lt; &lt; Чайна атомная электроника &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
725,,"3-я атомная атомная электростанция Китая, Австралия, проект по обеспечению доступа к воде, Циркуляр результатов, Установить проект на северном берегу и водоснабжении на атомной электростанции CGN-20190906004, Наблюдение за данной тендерной программой",2023-04-17,674850653,," &lt; &lt; Синьхуа &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
726,(Контингент: CGN-202305240003),Наблюдение за данной тендерной программой,2023-08-29,6650000,,",  &quot; Чайна инжиниринг лимитед &quot;", China &amp; China &apos; s New Energy Ltd. Dun State Company
727,(Контингент: CGN-2022110002),"200 МВт фотоволжского проекта «Линфу плюс» в рамках проекта экологического восстановления, Шанхайский храм 200 МВт ФК «Леник плюс» проект экологического восстановления (запрос No CGN-CGN), Надзор за осуществлением данного тендерного проекта /.",2023-03-09,18957161,, &quot; Чайна инжиниринг лимитед &quot;,
728,,"Закупка оборудования для маркеров трафика и системы контроля измерений (CGN-202302240005), Результаты, Название проекта: Закупка оборудования для опознавания трафика и системы контроля, Производитель: Danton Bet Automation Engineering, Наблюдение за осуществлением данного тендерного проекта",2023-04-19,6780410,," Китайская академия ядерных исследований,  &quot; Чайна инжиниринг лимитед &quot;",
729,,"Закупка (перезакупка) оборудования для ветряной электростанции Тяньцзинь и Нин Лун, Закупка (перезакупка) оборудования для ветроэнергетических установок ветроэнергетической инжиниринговой ветровой электростанции (просмотр тендера), Надзор за осуществлением данного тендерного проекта /.",2023-07-27,148500000,, &quot; Чайна инжиниринг лимитед &quot;,",  &lt; &lt; Тяньцзиньнинг лтд. &gt; &gt;"
730,(Контингент: CGN-20210506003),Наблюдение за данной тендерной программой,2021-07-14,40899000,," &lt; &lt; Чайна энтропия &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
731,(Контингент: CGN-20230627004),"Краткая информация о результатах закупок по портфелю 2023 года (пункт 2), Закупка матрицы нового энергоблока 2023 года (пункт 2) (номер тендера: CGN-202306270004), Надзор за осуществлением данного тендерного проекта /.",2023-08-24,,, &quot; Чайна инжиниринг лимитед &quot;, &lt; &lt; Чайна Хиросима &gt; &gt;
732,,"Циркуляр результатов, Название проекта: Проект по обеспечению безопасности в рамках проекта BJ, Наблюдение за данной тендерной программой",2023-02-07,37371069,," &lt; &lt; Чайна файл &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
733,(Контингент: CGN-20210610005),"Наблюдение за данной тендерной программой, Покупатель: 2-я ветряная электроэнергия в штате Кангуа",2021-08-18,9229502,, &quot; Чайна инжиниринг лимитед &quot;,
734,"(Контингент: CGN-20220830007), Номер: CGN-20220830007, идентифицированные лица:","490 МВт комбинированный энергетический проект теплового соляного насоса и теплового насоса, Результаты, Закупка тепловых насосов и тепловых насосов для комплексного энергетического проекта мощностью 490 МВт (проект конкурса), Надзор за осуществлением данного тендерного проекта /.",2022-12-02,, Jiangsu Co., &quot; Чайна инжиниринг лимитед &quot;, &lt; &lt; Гранд-Ан &gt; &gt;
735,(Контингент: CGN-202204180006),"Осенний отчет о дополнительном отчете о закупке порта Хиросимы IIPA и проекта морской ветровой электростанции PB, Результаты, Закупка дополнительной отчетной отчета о проекте морской кольцевой кольцевой кольцевой электростанции &lt; &lt; ПБ &gt; &gt; в порту Гуанчжоу (No тендера), CGN-202204180006 был определен следующим образом:, Надзор за осуществлением данного тендерного проекта /.",2022-06-14,, Hylando Tech, &quot; Чайна инжиниринг лимитед &quot;, China &apos; s Nuclear New Energy Ltd.
736,,"1-й и 2-й группы LOT101A (ядерный трансформатор давления), Группа 1 и 2 LOT101A (передатчик давления ядерного класса) (номер тендера: CGN-202210004-N1), Наблюдение за осуществлением данного тендерного проекта",2022-12-08,70370428, Шанхайская компания по промышленной автоматизации," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
737,,"Интегрированная исследовательская работа по изучению воздействия водяных фильтров на атомную электростанцию Нинде 5 и 6, Интегрированная исследовательская работа по изучению воздействия водяных фильтров на атомную электростанцию Бенедикта 5 и 6 (номер тендера: CGN-20210325006) для определения проекта, Проект: Интегрированная исследовательская работа по изучению воздействия водяных фильтров на атомную электростанцию Нинде 5 и 6, Наблюдение за данной тендерной программой",2021-07-20,1490000,, &quot; Чайна инжиниринг лимитед &quot;, Шэньчжэнь
738,,"Информация о результатах, полученных в рамках проекта закупок услуг по оценке (второй повторный торг) компании &lt; &lt; Си-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн-эн-технология &gt; &gt;, Надзор за осуществлением данного тендерного проекта /.",2022-12-20,, Beijing Tech," China and China (Пекин),  &quot; Чайна инжиниринг лимитед &quot;",
739,(Контингент: CGN-202211030004),"1, 2-й имитатор DCS-системы и операционная площадка для закупок, Закупка стенда и операционной площадки для имитатора DCS серии 1 и 2 (номер тендера: CGN-202211030004), Проект: 1-й и 2-й имитаторы DCS-системы и операционная площадка, Наблюдение за данной тендерной программой",2023-02-07,4598286,," &quot; Хинли инжиниринг инжиниринг &quot; , Пекин,  &quot; Чайна инжиниринг лимитед &quot;",
740,(Контингент: CGN-202104010005),"Результаты закупок ветряного оборудования в рамках проекта &lt; &lt; Цзянси &gt; &gt;, Закупка ветроэлектронного оборудования для проекта Jiangang Song Kong (заказ No CGN-202104010005) для определения победителей проекта, таких как, Наблюдение за данной тендерной программой",2021-08-11,110323500,," &quot; Перспективная энергетика &quot;,  &lt; &lt; Синьхуа &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
741,(Контингент: CGN-202304060012),"Результаты проекта SK LOT41A (оборудование для нагрева воды), Проект LOT41A (Оборудование для нагрева воды) (номер тендера: CGN-202304060012) для определения участника проекта, Наблюдение за данной тендерной программой",2023-08-22,43220000, Шанхайская электростанция," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
742,,"Результаты 2-го тендера на строительство лаборатории передовых материалов, 2-й тендер на строительство лаборатории современных материалов (номер тендера: CGN-202209260009-N1) для определения промежуточного тендера проекта, Проект: 2-й конкурс на строительство лаборатории передовых материалов, Наблюдение за данной тендерной программой",2023-02-14,13915355, Шэньчжэнь," Китайская академия ядерных исследований,  &quot; Чайна инжиниринг лимитед &quot;",
743,,"AN-проекты 1 и 2 LOT120Kb, Проект AN-проект 1, блок 2 LOT120Kb, Наблюдение за данной тендерной программой",2021-07-20,2836412,,",  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
744,,"Проект строительства тепловых помещений в Институте ядерных исследований Китая и Китая LOT16F (облучение материалов и, Циркуляр результатов, Проект строительства тепловых помещений в Институте ядерных исследований Китая и Китая LOT16F (оборудование для систем пробоотбора воздуха в Центре по исследованию и освоению изотопов), Название проекта: Проект строительства тепловых помещений в Институте ядерных исследований Китая и Китая LOT16F (Отбор проб воздуха в Центре по исследованию и освоению изотопов, Оборудование), Наблюдение за данной тендерной программой",2023-02-02,812533,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
745,(Конференция: CGN-20220509009),"Gong LF Project LOT150Ab NI HVAC электрический нагреватель, Проект LOT150Ab NI HVAC электрический нагреватель (номер тендера: CGN-20220509009), определяющий этот проект, Наблюдение за данной тендерной программой",2022-07-27,4967600,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
746,(Конференция: CGN-20230426002),Надзор за осуществлением данного тендерного проекта /.,2023-07-03,,, &quot; Чайна инжиниринг лимитед &quot;, &lt; &lt; Чайна Хиросима &gt; &gt;
747,,"Проект «Закупка оборудования для автоматической розыгрыши (пункт 2)» (заказ No CGN-20210527004-N1) для определения, Наблюдение за данной тендерной программой",2021-10-27,, Lybao Sound Engineering (Шанхай) Ltd.," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
748,"(Контингент: CGN-202205110016), Номер: CGN-202205110016, идентифицированные лица:","2022 год - центр управления и проект интеллектуализации производственных комплексов., Результаты, В 2022 году центр управления водопроводом и проект по интеллектуальному производству комплектующих квартир (сбор предложений), Надзор за осуществлением данного тендерного проекта /.",2022-07-13,7567715,, &quot; Чайна инжиниринг лимитед &quot;," Шэньчжэнь,  China &apos; s Nuclear New Energy Ltd."
749,,"Проект мониторинга окружающей среды на суше на 2023 - 2027 годы, Циркуляр результатов, Проект мониторинга окружающей среды на суше на 2023-2027 годы в рамках проекта &lt; &lt; Порт-оф-Спейн &gt; &gt; (заявление No CGN-202211240001), Название проекта: Проект мониторинга окружающей среды на суше, проект &lt; &lt; Порт-о-Пренс &gt; &gt; , 2023 - 2027 годы, Наблюдение за данной тендерной программой",2023-02-28,1379696,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;", Шэньчжэнь
750,,"Проект LF LOT85A Автоматизированная система пожарной сигнализации, Циркуляр результатов, Проект LOT85A Автоматическая система пожарной сигнализации на заводе (номер тендера: CGN-202205240001) для определения проекта, Название проекта: Проект LOT85A Автоматизированная система пожарной сигнализации, Наблюдение за данной тендерной программой",2022-12-14,35628338, China Fujitsu," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
751,(Контингент: CGN-20220927001),"Закупка коробки (номер тендера: CGN-20220927001) была определена следующим образом:, Надзор за осуществлением данного тендерного проекта /.",2022-11-14,, China Electric Company," China &apos; s China &apos; s huaning,  &quot; Чайна инжиниринг лимитед &quot;",
752,(Контингент: CGN-20220909007),Наблюдение за данной тендерной программой,2022-11-02,65603968, China New Energy Lakes Ltd., &quot; Чайна инжиниринг лимитед &quot;,
753,(Контингент: CGN-20230110003),"Проект 2-1 (Ветряная электроэнергия 260 МВт) Дорога, платформа, ветряная база, и результаты тендера на замену коробки (пункт 2), Проект 2-1 (Ветряная электроэнергия 260 МВт) Дорога, платформа, ветряная база и коробка, Депозитарий (пункт 2) (номер тендера: CGN-20230111003) был определен следующим образом:, Надзор за осуществлением данного тендерного проекта /.",2023-03-09,36697593,, &quot; Чайна инжиниринг лимитед &quot;, компания &quot; Белая энергетика &quot;
754,(Конференция: CGN-20230317002),"Проект LOT190K LOT190K (номер тендера: CGN-20230317002) для определения промежуточного значения проекта, Наблюдение за данной тендерной программой",2023-05-12,5875116, Shanghai Renault," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
755,,"Экологический мониторинг 2PA и PB морской ветровой электростанции в порту Гуанчжоу, Проект консультативного обслуживания, Циркуляр результатов, Экологический мониторинг и соответствующие консультационные услуги в ходе строительства морской ветряной электростанции PB в портах Хиросимы, Наименование проекта: 2PA порта Хиросимы, мониторинг окружающей среды во время строительства морской ветровой электростанции PB и соответствующие консультационные услуги, Наблюдение за данной тендерной программой",2023-05-30,16203000, Hylando Tech," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
756,(Контингент: CGN-20230605007),"1,4 млн. кВт на объекте 2-1 (100 МВт фотоэлектрического) проекта &quot; EPC &quot; на базе &quot; Гизи &quot;, Проект 2-1 (100 МВт фотоэлектрической тепловой связи) &lt; &lt; ЕПК &gt; &gt; , проект 1,4 млн. кВт на базе &lt; &lt; Джиси &gt; &gt; (запрос), Наблюдение за данной тендерной программой",2023-07-18,592413120,," &lt; &lt; Гранд-Анн &gt; &gt; , компания &lt; &lt; Энергоэффективная энергетика &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
757,(Контингент: CGN-20230509003),Надзор за осуществлением данного тендерного проекта /.,2023-07-06,2600000,," &lt; &lt; Южно-Ветроэнергетическая компания &gt; &gt; , Гонконг, Китай,  &quot; Чайна инжиниринг лимитед &quot;",
758,,"Проект: 1-й и 2-й энергоблоки LOT78B, Наблюдение за данной тендерной программой",2022-01-10,31572395,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
759,(Контингент: CGN-20210806002),"480 МВт закупка оборудования для ветрогенераторного оборудования, Закупка оборудования для ветрогенератора ветроэнергетического поля мощностью 480 МВт (заказ No CGN-20210806002) для определения настоящего, Наблюдение за данной тендерной программой",2022-01-25,933465000,," Китайская атомная кухня,  &quot; Чайна инжиниринг лимитед &quot;",
760,(Контингент: CGN-202111030003),"Проект по управлению водопользованием в рамках проекта Six-Life в провинции Хэбэй (Конференция No CGN-202111030003) для определения промежуточного значения проекта, Наблюдение за данной тендерной программой",2022-01-25,5288886, Новая энергетическая компания Китая,",  &quot; Чайна инжиниринг лимитед &quot;",
761,(Контингент: CGN-20221020003),"Вуханьский проект по распределенному фотоэлектрическому подряду EPC, Проект распределенной фотоэлектрической электроники EPC Hong Kong China Hong Kong (Конференция No CGN), Надзор за осуществлением данного тендерного проекта /.",2022-12-05,27997250, China New Energy Lakes Ltd, &quot; Чайна инжиниринг лимитед &quot;, Чжао
762,(Контингент: CGN-202201120003),"Сервис по проектной цене BJ (пункт I) (номер тендера: CGN-202201120003) для определения проекта, Наблюдение за данной тендерной программой",2022-07-01,4003810,,",  &lt; &lt; Синьхуа &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
763,(Контингент: CGN-202304100012),"Закупка шкафов безопасности и внутренних приложений для системы управления системой АЭС &lt; &lt; DCS &gt; &gt; (разъем 02_ АЭС &lt; &lt; DCS &gt; &gt; ) и внутренней сборки приложений, Результаты торгов 2), Закупка шкафов безопасности и внутренних приложений для системы управления системой DCS на атомной электростанции (компонент 02_ АЭС &lt; &lt; DCS &gt; &gt; ), Проект: Закупка шкафов безопасности и внутренних приложений для системы управления системой АЭС &lt; &lt; DCS &gt; &gt; (показатель 02_ АЭС &lt; &lt; DCS &gt; &gt; и, Внутреннее приложение, пункт 2, Наблюдение за данной тендерной программой",2023-06-29,23112000,," &lt; &lt; Синьцзян электрик &gt; &gt;,  &quot; Хинли инжиниринг инжиниринг &quot; , Пекин,  &quot; Чайна инжиниринг лимитед &quot;",
764,(Конференция: CGN-20220906003),"1,4 млн. киловатт-экранов на базе в Гизи (100 МВт) для контроля за закупками, 1,4 млн. киловатт-экранов (100 МВт) для контроля за закупками на базе в Бен-Гиси, Надзор за осуществлением данного тендерного проекта /.",2022-11-14,,,",  &quot; Чайна инжиниринг лимитед &quot;", &lt; &lt; Гранд-Ан &gt; &gt;
765,(Контингент: CGN-202205110017),"100 МВт фотоэлектрического поля PC в Китае, Проект PC с новым 100 МВт-диапазоном (заказ No CGN-202205110017), Надзор за осуществлением данного тендерного проекта /.",2022-06-21,87685764,, &quot; Чайна инжиниринг лимитед &quot;, China &apos; s Nuclear New Energy (China) Ltd.
766,(Конференция: CGN-20230724002),"Объяснение результатов в рамках проекта по закупке системы контроля за границами в зоне радиационного контроля I и II, Проект по применению системы контроля за границами в зоне контроля за радиацией I и II (Конференция No: CGN-, Проект по применению системы &lt; &lt; Закупки &gt; &gt; для системы &lt; &lt; Защита границ &gt; &gt; в зоне радиационного контроля &lt; &lt; Красная тропа &gt; &gt; , этап I и этап II, Партнеры: Китайский институт автоматизации вооружения, Наблюдение за данной тендерной программой, Покупатель: Ляонин Красный Поток",2023-09-07,2119500,, &quot; Чайна инжиниринг лимитед &quot;,
767,(Контингент: CGN-20220530005),"Результаты закупок сети перехвата воды на атомных электростанциях, Закупка сети перехвата воды на атомных электростанциях (номер тендера: CGN-20220530005) идентифицирует участников проекта следующим образом:, Наблюдение за данной тендерной программой",2022-07-21,22601828,, &quot; Чайна инжиниринг лимитед &quot;, Шэньчжэнь
768,,"LOT101N (обычные острова и приборы BOP), Проект резолюции, Циркуляр результатов, Группа LOT101N (обычные острова и приборы BOP) (No CGN-20210526003), Наименование проекта: блок 1, 2 LOT101N (обычные острова и приборы BOP), Наблюдение за данной тендерной программой",2023-02-02,9680000,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
769,CGN-20211010010,Наблюдение за данной тендерной программой,2022-04-21,,, &quot; Чайна инжиниринг лимитед &quot;,
770,,"Проект по централизованному закупке оборудования для лабораторного оборудования Группы ядерных государств, Циркуляр результатов, Проект централизованной закупки оборудования для лабораторного оборудования для измерения ГЯО (Конференция No CGN-20220926003), Название проекта: Проект централизованной закупки оборудования для лабораторного оборудования, используемого Группой ядерных государств, Наблюдение за данной тендерной программой",2022-11-25,26589140,," &lt; &lt; Чайна Хисано &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
771,(Контингент: CGN-20220105005),"Инструкции по сооружению тепловых помещений в Институте ядерных исследований Китая и Китая LOT130I Устройство для обработки контейнеров, Оборудование для установки тепловых помещений в рамках проекта по строительству тепловых помещений в Институте ядерных исследований Китая и Китая LOT130I для обработки бочки (номер тендера: CGN-20220105005), Наблюдение за данной тендерной программой",2022-03-24,1950000, Hong Kong New Energy Engineering," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
772,(Контингент: CGN-202208001),"Результаты закупок системы мониторинга усталости LOT104I для блока 1 и 2, Закупка системы мониторинга усталости для блока LOT104I для проекта 1 и 2 (заказ No CGN-202208001), Наблюдение за данной тендерной программой",2022-12-15,5327927, Шэньчжэнь," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
773,,"Проект строительства медицинских радиоизотопов для спиральных ускорителей, Проект резолюции, Циркуляр результатов, Проект по строительству медицинских радиоизотопов для спиральных ускорителей (номер тендера: CGN-202206130006),, Название проекта: Проект строительства медицинских радиоизотопов на ускорителях, Наблюдение за данной тендерной программой",2022-09-23,47997980,," China 5 Metals Group,  Китайская ядерная изотопная технология (ГЯН),  &quot; Чайна инжиниринг лимитед &quot;",
774,,"2PA морской ветровой электроэнергией в порту Уйчжоу, Циркуляр результатов, Главный трансформатор морского подъемного балласта для проекта морской ветроэнергии 2PA порта Бенедикто (запрос No CGN-202209220004) определен, Название проекта: Морской ветряный трансформатор проекта 2PA в порту Уйчжоу, Наблюдение за данной тендерной программой",2023-02-28,27987840,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
775,(Контингент: CGN-20221027001),"1-я серия проекта по циррозу на дорогах (область Сиша) (заявление No CGN-20221027001), определение, Надзор за осуществлением данного тендерного проекта /.",2023-01-30,8463959,, &quot; Чайна инжиниринг лимитед &quot;,",  China and China New Energy Entertainment"
